ADCODE99,NAME,kidgarden
110000,北京市,2892
120000,天津市,1052
130000,河北省,4739
140000,山西省,9785
150000,内蒙古自治区,1312
210000,辽宁省,10176
220000,吉林省,4897
230000,黑龙江省,4168
310000,上海市,954
320000,江苏省,17476
330000,浙江省,12920
340000,安徽省,2305
350000,福建省,13033
360000,江西省,5986
370000,山东省,44421
410000,河南省,2657
420000,湖北省,3766
430000,湖南省,3396
440000,广东省,9425
450000,广西壮族自治区,2908
460000,海南省,499
500000,重庆市,5741
510000,四川省,11223
520000,贵州省,1212
530000,云南省,1412
540000,西藏自治区,36
610000,陕西省,1388
620000,甘肃省,1545
630000,青海省,185
640000,宁夏回族自治区,165
650000,新疆维吾尔自治区,811
710000,台湾省,
810000,香港特别行政区,